Dorm,dormNum,Rape,Attempted Rape,Domestic Violence,Burglary,Larceny - Bicycles,Larceny from residence,Larceny from building open to the public,Larceny of all others,Assaults Minor Injury,Assaults No Injury,Assaults minor injury domestic violence,Assaults no injury domestic violence,Fraud,Criminal Damage/ Malicious Mischief,Criminal Damage - Intentional vandalism,Sex Offenses Lewd and Lasivicous Act,Narcotics Drug Possession,Narcotic Drug Sale,Narcotic Drug Laws Possession of Paraphernalia,Furnishing Liquor to Minor,MIP,Liquor Laws Other,Disorderly Conduct Disturbing the Peace,Disorderly Conduct - Trespassing,Vagrancy,Other Offenses - Phone Calls,Other Felonies,Misdemeanors,Other Misdemeanors DV,Mental Cases/Transported to Treatment Facility,Sick/Transported to Medical Facility,Sick Cared for Attempted Suicide,Sick cared for other,Public Hazard,Fire not arson,Total
dormNum,1420,910,1717,1018,1003,602,822,1009,610,1440,922,500,1031,1557,1775,1340,601,621,1050,575,1222,1107,0,,,,,,,,,,,,,,
Rape,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,
Attempted Rape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
Domestic Violence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Burglary,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Larceny - Bicycles,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
Larceny from residence,0,1,0,5,0,2,7,0,1,10,0,0,0,0,0,0,0,2,1,1,0,0,30,,,,,,,,,,,,,,
Larceny from building open to the public,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
Larceny of all others,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,,,,,,,,,,,,,,
Assaults Minor Injury,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,,,,,,,,,,,,,,
Assaults No Injury,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,,,,,,,,,,,,,,
Assaults minor injury domestic violence,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,,,,,,,,,,,,,,
Assaults no injury domestic violence,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Fraud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Criminal Damage/ Malicious Mischief,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Criminal Damage - Intentional vandalism,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,3,2,0,0,12,,,,,,,,,,,,,,
Sex Offenses Lewd and Lasivicous Act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
Narcotics Drug Possession,1,0,1,5,1,3,21,2,3,0,6,0,0,6,0,0,1,1,5,5,1,0,62,,,,,,,,,,,,,,
Narcotic Drug Sale,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,
Narcotic Drug Laws Possession of Paraphernalia,0,2,0,1,0,1,2,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,11,,,,,,,,,,,,,,
Furnishing Liquor to Minor,0,0,1,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,
MIP,1,10,0,2,0,0,44,0,3,2,2,0,0,1,0,1,2,0,3,3,1,0,75,,,,,,,,,,,,,,
Liquor Laws Other,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Disorderly Conduct Disturbing the Peace,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,
Disorderly Conduct - Trespassing,0,3,1,0,0,0,4,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,12,,,,,,,,,,,,,,
Vagrancy,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
Other Offenses - Phone Calls,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,
Other Felonies,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,,,,,,,,,,,,,,
Misdemeanors,0,2,0,0,0,0,2,0,2,0,1,0,0,0,0,1,0,1,1,1,0,0,11,,,,,,,,,,,,,,
Other Misdemeanors DV,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,,,,,,,,,,,,,,
Mental Cases/Transported to Treatment Facility,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,,,,,,,,,,,,,,
Sick/Transported to Medical Facility,0,3,0,2,1,1,6,3,0,1,1,0,0,0,0,0,4,1,2,2,1,0,28,,,,,,,,,,,,,,
Sick Cared for Attempted Suicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,,,,,,,,,,,,,,
Sick cared for other,1,2,0,0,1,0,4,1,2,0,0,0,0,0,0,1,2,1,0,0,1,0,16,,,,,,,,,,,,,,
Public Hazard,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,,,,,,,,,,,,,,
Fire not arson,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Total,3,35,5,16,5,30,106,7,13,7,12,0,2,9,1,7,10,7,26,15,5,1,322,,,,,,,,,,,,,,
